restaurant_id,restaurant_name,country,city,awards,popularity_detailed,top_tags,price_level,price_range,cuisines,special_diets,vegetarian_friendly,vegan_options,gluten_free,avg_rating,total_reviews_count,food,service,value,atmosphere,keywords
g1056632-d10807766,Stubbs Gastronomi,Denmark,Sabro,NA,#2 of 3 Restaurants in Sabro,"Italian, French, European, Danish",NA,NA,"Italian, French, European, Danish",NA,N,N,N,5,6,NA,NA,NA,NA,NA
g1056632-d3444976,Montra Hotel Sabro Kro Restaurant,Denmark,Sabro,"Certificate of Excellence 2018, Certificate of Excellence 2017",#1 of 3 Restaurants in Sabro,"Mid-range, European, Contemporary, Central European",€€-€€€,NA,"Danish, European, Contemporary, Central European, Scandinavian",NA,N,N,N,4,86,3.5,4,3.5,4,NA
g1056632-d6576592,Sabro Pizza,Denmark,Sabro,NA,#3 of 3 Restaurants in Sabro,"Pizza, Fast food, European, Greek",NA,NA,"Pizza, Fast food, European, Greek, Danish",NA,N,N,N,2.5,7,NA,NA,NA,NA,NA
g1069587-d10147635,Lulu's Café & Boutique,Denmark,Kerteminde,Certificate of Excellence 2019,#2 of 18 Restaurants in Kerteminde,"Mid-range, Cafe, European, Danish",€€-€€€,€5-€20,"Cafe, European, Danish",Vegetarian Friendly,Y,N,N,4,70,4,4,4,NA,NA
g1069587-d10520116,Den Italienske Isbutik,Denmark,Kerteminde,NA,#2 of 3 Dessert Spots in Kerteminde,"Cheap Eats, Dessert, Italian",€,NA,Italian,NA,N,N,N,4.5,15,4.5,4.5,4.5,NA,NA
g1069587-d1071477,Restaurant Rudolf Mathis,Denmark,Kerteminde,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2013",#1 of 18 Restaurants in Kerteminde,"Fine Dining, Seafood, European, Scandinavian",€€€€,€42-€157,"Seafood, European, Scandinavian, Danish",Gluten Free Options,N,N,Y,5,270,5,4.5,4.5,5,NA
g1069587-d12116846,Cafe Agnes H,Denmark,Kerteminde,NA,#8 of 18 Restaurants in Kerteminde,"Mid-range, Vegetarian Friendly",€€-€€€,€108-€134,NA,Vegetarian Friendly,Y,N,N,5,19,NA,NA,NA,NA,NA
g1069587-d12611358,Taurus Steak House,Denmark,Kerteminde,NA,#13 of 18 Restaurants in Kerteminde,"Mid-range, Steakhouse",€€-€€€,NA,Steakhouse,NA,N,N,N,3.5,30,4,4,4,NA,NA
g1069587-d12639682,Great Northern - Restaurant EAT,Denmark,Kerteminde,NA,#3 of 18 Restaurants in Kerteminde,"Mid-range, Danish",€€-€€€,NA,Danish,NA,N,N,N,4,52,4,4.5,4,NA,NA
g1069587-d12667670,Måle Bagerbod,Denmark,Kerteminde,NA,#5 of 18 Restaurants in Kerteminde,"Mid-range, Danish",€€-€€€,€2-€10,Danish,NA,N,N,N,4,27,4.5,4.5,4.5,NA,NA
g1069587-d14202767,Rogeri Hindsholm,Denmark,Kerteminde,NA,#4 of 18 Restaurants in Kerteminde,"Mid-range, European, Danish",€€-€€€,NA,"European, Danish",NA,N,N,N,5,14,5,5,5,NA,NA
g1069587-d1816958,Pronto Pizza Restaurant,Denmark,Kerteminde,NA,#14 of 18 Restaurants in Kerteminde,"Mid-range, Italian, Pizza",€€-€€€,NA,"Pizza, Italian",NA,N,N,N,3.5,38,3.5,3.5,3.5,NA,NA
g1069587-d1816959,Vaffelhuset,Denmark,Kerteminde,"Certificate of Excellence 2019, Certificate of Excellence 2017, Certificate of Excellence 2016",#1 of 3 Dessert Spots in Kerteminde,"Mid-range, Dessert",€€-€€€,NA,NA,NA,N,N,N,4.5,114,4.5,4.5,4.5,4.5,NA
g1069587-d20999883,Brasserie Langegade,Denmark,Kerteminde,NA,#17 of 18 Restaurants in Kerteminde,"Mid-range, European, Danish",€€-€€€,NA,"European, Danish",NA,N,N,N,3,26,4,3,3,NA,NA
g1069587-d21150914,Langegades Bageri,Denmark,Kerteminde,NA,#1 of 1 Bakery in Kerteminde,Bakeries,NA,NA,NA,NA,N,N,N,4.5,3,NA,NA,NA,NA,NA
g1069587-d3165651,Restaurant Kerteminde Sejlklub,Denmark,Kerteminde,NA,#18 of 18 Restaurants in Kerteminde,"Mid-range, European, Scandinavian, Danish",€€-€€€,NA,"Scandinavian, Danish, European",NA,N,N,N,3,106,3.5,3.5,3.5,4.5,NA
g1069587-d3226513,Restaurant Firenze,Denmark,Kerteminde,NA,#6 of 18 Restaurants in Kerteminde,"Mid-range, Italian, Pizza, European",€€-€€€,NA,"Italian, Pizza, European",NA,N,N,N,3.5,90,4,4,4,4,NA
g1069587-d3226515,Restaurant Marinaen,Denmark,Kerteminde,NA,#10 of 18 Restaurants in Kerteminde,"Mid-range, Seafood, European, Danish",€€-€€€,NA,"Seafood, European, Danish",NA,N,N,N,3.5,65,3.5,3.5,3.5,3.5,NA
g1069587-d3434624,Cafe Ilskovs Gaard,Denmark,Kerteminde,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,0,NA,NA,NA,NA,NA
g1069587-d3440129,Varmestuen,Denmark,Kerteminde,NA,#15 of 18 Restaurants in Kerteminde,NA,NA,NA,NA,NA,N,N,N,3.5,9,NA,NA,NA,NA,NA
g1069587-d3440453,Tornoes Hotel Restaurant,Denmark,Kerteminde,NA,#7 of 18 Restaurants in Kerteminde,"Mid-range, Seafood, European, Scandinavian",€€-€€€,NA,"Scandinavian, Danish, Seafood, European",NA,N,N,N,3.5,93,4,4,4,NA,NA
g1069587-d3440958,Skaenkestuen,Denmark,Kerteminde,NA,#16 of 18 Restaurants in Kerteminde,NA,NA,NA,NA,NA,N,N,N,4.5,2,NA,NA,NA,NA,NA
g1069587-d3442371,Clausens Eftf,Denmark,Kerteminde,NA,#9 of 18 Restaurants in Kerteminde,Cheap Eats,€,NA,NA,NA,N,N,N,5,12,NA,NA,NA,NA,NA
g1069587-d3442874,Zilan's Pizza og Burgercafe,Denmark,Kerteminde,NA,#11 of 18 Restaurants in Kerteminde,"Cheap Eats, Italian, Pizza",€,NA,"Italian, Pizza",NA,N,N,N,3.5,22,3,4,3.5,NA,NA
g1069587-d9743388,Boris Fisk,Denmark,Kerteminde,NA,#12 of 18 Restaurants in Kerteminde,Cheap Eats,€,€11-€13,NA,NA,N,N,N,4,20,3.5,4,4,NA,NA
g1096215-d12396342,Hertug Burger,Denmark,Augustenborg,NA,#1 of 1 Restaurant in Augustenborg,NA,NA,NA,NA,NA,N,N,N,4,4,NA,NA,NA,NA,NA
g1096218-d10661929,Avernakø Havnecafe,Denmark,Faaborg,NA,#20 of 33 Restaurants in Faaborg,NA,NA,NA,NA,NA,N,N,N,4.5,8,NA,NA,NA,NA,NA
g1096218-d10781672,Vaffelbageren,Denmark,Faaborg,NA,#21 of 33 Restaurants in Faaborg,"Cheap Eats, Cafe",€,NA,Cafe,NA,N,N,N,4.5,14,NA,NA,NA,NA,NA
g1096218-d10794378,Terrassen,Denmark,Faaborg,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,0,NA,NA,NA,NA,NA
g1096218-d10832827,Restaurant Heimdal,Denmark,Faaborg,Certificate of Excellence 2018,#11 of 33 Restaurants in Faaborg,"Mid-range, European, Scandinavian, Danish",€€-€€€,NA,"Scandinavian, Danish, European",NA,N,N,N,4,57,4.5,4,4,NA,NA
g1096218-d11768196,Soze Kaffebar & Risteri,Denmark,Faaborg,NA,#13 of 33 Restaurants in Faaborg,Cheap Eats,€,€3-€16,NA,NA,N,N,N,4.5,17,4.5,4.5,4.5,NA,NA
g1096218-d12536112,Il Pelato,Denmark,Faaborg,Certificate of Excellence 2019,#5 of 33 Restaurants in Faaborg,"Mid-range, Italian, Mediterranean, European",€€-€€€,NA,"Italian, Mediterranean, European, Sicilian, Southern-Italian",NA,N,N,N,5,50,4.5,4.5,4.5,NA,NA
g1096218-d12594407,Fiskehuset,Denmark,Faaborg,NA,#28 of 33 Restaurants in Faaborg,"Mid-range, Seafood, European, Danish",€€-€€€,€11-€17,"Seafood, European, Danish",NA,N,N,N,3,18,NA,NA,NA,NA,NA
g1096218-d12674787,Restaurant Kompasset Faaborg,Denmark,Faaborg,NA,#16 of 33 Restaurants in Faaborg,"Mid-range, European, Scandinavian, Danish",€€-€€€,€57-€207,"European, Danish, Scandinavian",NA,N,N,N,4,28,4,4,4,NA,NA
g1096218-d13651587,Aroniahaven,Denmark,Faaborg,NA,NA,"Cheap Eats, Cafe, European, Danish",€,€2-€7,"Cafe, European, Danish",NA,N,N,N,NA,0,NA,NA,NA,NA,NA
g1096218-d13954331,Cafe Fruens Vilje,Denmark,Faaborg,NA,#14 of 33 Restaurants in Faaborg,"Mid-range, European, Danish",€€-€€€,NA,"European, Danish",NA,N,N,N,4,32,4,4,4,NA,NA
g1096218-d14933822,Café Lyø gamle skole,Denmark,Faaborg,NA,#19 of 33 Restaurants in Faaborg,"Mid-range, Italian",€€-€€€,NA,Italian,NA,N,N,N,4,18,NA,NA,NA,NA,NA
g1096218-d14942462,Café SunShine,Denmark,Faaborg,NA,#32 of 33 Restaurants in Faaborg,"Mid-range, Cafe",€€-€€€,NA,Cafe,NA,N,N,N,2.5,19,NA,NA,NA,NA,NA
g1096218-d14975743,Vesterports Bageri,Denmark,Faaborg,NA,#10 of 33 Restaurants in Faaborg,Mid-range,€€-€€€,NA,NA,NA,N,N,N,5,11,NA,NA,NA,NA,NA
g1096218-d20835027,Chili Grill,Denmark,Faaborg,NA,NA,"Fine Dining, Barbecue, Asian, Thai",€€€€,€4-€134,"Barbecue, Asian, Thai",NA,N,N,N,NA,0,NA,NA,NA,NA,NA
g1096218-d21015887,Hly,Denmark,Faaborg,NA,#23 of 33 Restaurants in Faaborg,"Mid-range, Bar, Cafe, Seafood",€€-€€€,€13-€37,"Bar, Cafe, Seafood, European, Pub, Scandinavian, Danish",NA,N,N,N,4,4,NA,NA,NA,NA,NA
g1096218-d21167805,Avernako Havne Cafe,Denmark,Faaborg,NA,#1 of 1 Coffee & Tea in Faaborg,"Bakeries, Cafe, European, Contemporary",NA,NA,"Cafe, European, Contemporary, Diner, Danish, Dining bars",NA,N,N,N,5,1,NA,NA,NA,NA,NA
g1096218-d2338140,Le Brasserie,Denmark,Faaborg,NA,#22 of 33 Restaurants in Faaborg,"Mid-range, French",€€-€€€,NA,French,NA,N,N,N,3.5,13,NA,NA,NA,NA,NA
g1096218-d2524843,Faergegaarden,Denmark,Faaborg,NA,#1 of 33 Restaurants in Faaborg,"Mid-range, European, Scandinavian, Danish",€€-€€€,€125-€832,"Scandinavian, Danish, European",Vegetarian Friendly,Y,N,N,4.5,69,4.5,4.5,4.5,4,NA
g1096218-d3435710,De 2 Krukker,Denmark,Faaborg,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,0,NA,NA,NA,NA,NA
g1096218-d3440815,Faaborg Rogeri Cafe,Denmark,Faaborg,Certificate of Excellence 2018,#8 of 33 Restaurants in Faaborg,"Mid-range, Seafood, Danish",€€-€€€,€4-€13,"Seafood, Danish",NA,N,N,N,4,93,3.5,3.5,3.5,3.5,NA
g1096218-d3440989,Restaurant Hvedholm Slot,Denmark,Faaborg,NA,#18 of 33 Restaurants in Faaborg,"Fine Dining, European, Danish",€€€€,NA,"European, Danish",NA,N,N,N,3.5,62,4,4,4,4,NA
g1096218-d3441605,Restaurant Skovlyst,Denmark,Faaborg,NA,#27 of 33 Restaurants in Faaborg,Mid-range,€€-€€€,NA,NA,NA,N,N,N,3.5,9,3.5,3,2.5,NA,NA
g1096218-d3444819,Det Blaa Ishus,Denmark,Faaborg,NA,#12 of 33 Restaurants in Faaborg,Mid-range,€€-€€€,NA,NA,NA,N,N,N,4,43,4.5,4,4,NA,NA
g1096218-d3444921,Hotel Faaborg Fjord Restaurant,Denmark,Faaborg,NA,#15 of 33 Restaurants in Faaborg,"Mid-range, European, Danish",€€-€€€,NA,"European, Danish",NA,N,N,N,3.5,64,4,4,4,3.5,NA
g1096218-d3445667,Restaurant & Cafe Bojden Strand,Denmark,Faaborg,NA,#30 of 33 Restaurants in Faaborg,NA,NA,NA,NA,NA,N,N,N,3,11,NA,NA,NA,NA,NA
g1096218-d3445785,Bro 7 Restaurant,Denmark,Faaborg,NA,#31 of 33 Restaurants in Faaborg,Mid-range,€€-€€€,NA,NA,NA,N,N,N,3,9,4,4,3.5,4,NA
g1096218-d3445948,Det Hvide Pakhus,Denmark,Faaborg,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#3 of 33 Restaurants in Faaborg,"Mid-range, Seafood, European, Scandinavian",€€-€€€,NA,"Seafood, European, Scandinavian, Danish","Vegetarian Friendly, Gluten Free Options",Y,N,Y,4,209,4,4,4,4.5,NA
g1096218-d3446287,Frk. Jensens Cafe og Spisehus,Denmark,Faaborg,"Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#2 of 33 Restaurants in Faaborg,"Mid-range, European, Scandinavian, Danish",€€-€€€,NA,"Scandinavian, Danish, European",NA,N,N,N,4.5,132,4.5,4.5,4.5,4,NA
g1096218-d3514711,Spisehuset,Denmark,Faaborg,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#4 of 33 Restaurants in Faaborg,"Mid-range, European, Danish, Vegetarian Friendly",€€-€€€,NA,"European, Danish",Vegetarian Friendly,Y,N,N,4,155,4,4,4,4,NA
g1096218-d3559877,Dang Ved Bronden,Denmark,Faaborg,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#7 of 33 Restaurants in Faaborg,"Mid-range, Asian, Thai, Vegetarian Friendly",€€-€€€,NA,"Asian, Thai","Vegetarian Friendly, Vegan Options",Y,Y,N,4.5,143,4.5,4.5,4.5,4,NA
g1096218-d4131804,Magasingaarden Hotel Faaborg,Denmark,Faaborg,NA,#9 of 33 Restaurants in Faaborg,"Mid-range, French, European, Contemporary",€€-€€€,€9-€47,"French, European, Contemporary, Diner, Danish",NA,N,N,N,4,51,4,4,4,4,NA
g1096218-d4419811,Ris og Ruller,Denmark,Faaborg,NA,#25 of 33 Restaurants in Faaborg,"Cheap Eats, Asian",€,€5-€9,Asian,NA,N,N,N,4,5,NA,NA,NA,NA,NA
g1096218-d4881712,Ristorante Pizzeria Roma,Denmark,Faaborg,NA,#29 of 33 Restaurants in Faaborg,"Mid-range, Italian, Pizza",€€-€€€,NA,"Italian, Pizza",NA,N,N,N,3,41,3.5,4.5,4,NA,NA
g1096218-d4926755,Mosegard,Denmark,Faaborg,NA,#26 of 33 Restaurants in Faaborg,NA,NA,NA,NA,NA,N,N,N,3.5,10,3,3,2.5,NA,NA
g1096218-d6778532,Torvet Burger og Pizza,Denmark,Faaborg,NA,#24 of 33 Restaurants in Faaborg,Cheap Eats,€,NA,NA,NA,N,N,N,3.5,17,4,3.5,4,NA,NA
g1096218-d6888670,Restaurant Klinten,Denmark,Faaborg,"Travellers' Choice, Certificate of Excellence 2020",#6 of 33 Restaurants in Faaborg,Mid-range,€€-€€€,€27-€67,NA,NA,N,N,N,4.5,95,4.5,4.5,4.5,NA,NA
g1096218-d7100324,Skovtrolden,Denmark,Faaborg,NA,#33 of 33 Restaurants in Faaborg,Mid-range,€€-€€€,NA,NA,NA,N,N,N,2,17,NA,NA,NA,NA,NA
g1096218-d7187581,Café No. 2,Denmark,Faaborg,NA,#17 of 33 Restaurants in Faaborg,"Mid-range, Cafe",€€-€€€,NA,Cafe,NA,N,N,N,4,24,3.5,3.5,3.5,NA,NA
g1096220-d15863084,Meddethele.Dk Vest,Denmark,Kongerslev,NA,NA,"European, Danish",NA,NA,"European, Danish",NA,N,N,N,NA,0,NA,NA,NA,NA,NA
g1096223-d10031146,Pappa's Grill & Pizza,Denmark,Valby,NA,#21 of 62 Restaurants in Valby,Pizza,NA,NA,Pizza,NA,N,N,N,5,6,NA,NA,NA,NA,NA
g1096223-d10162883,Vores Broed,Denmark,Valby,NA,#41 of 62 Restaurants in Valby,Cafe,NA,NA,Cafe,NA,N,N,N,5,2,NA,NA,NA,NA,NA
g1096223-d10286243,Ris & Nudler,Denmark,Valby,NA,#32 of 62 Restaurants in Valby,"Thai, Vegetarian Friendly",NA,NA,Thai,Vegetarian Friendly,Y,N,N,3.5,12,NA,NA,NA,NA,NA
g1096223-d10406639,cafe Rosenhaven,Denmark,Valby,NA,#59 of 62 Restaurants in Valby,"Cheap Eats, Danish",€,NA,Danish,NA,N,N,N,4,18,4.5,4.5,4.5,NA,NA
g1096223-d10825041,Persian Restaurant SHANDIZ,Denmark,Valby,NA,#53 of 62 Restaurants in Valby,"Mid-range, Middle Eastern, Persian",€€-€€€,€13-€40,"Middle Eastern, Persian",NA,N,N,N,4.5,13,NA,NA,NA,NA,NA
g1096223-d10980898,Cofo Coffee & Food,Denmark,Valby,NA,#47 of 62 Restaurants in Valby,Cafe,NA,NA,Cafe,NA,N,N,N,3.5,2,NA,NA,NA,NA,NA
g1096223-d11925410,Viet Huong,Denmark,Valby,NA,#33 of 62 Restaurants in Valby,Cheap Eats,€,NA,NA,NA,N,N,N,4,5,NA,NA,NA,NA,NA
g1096223-d12207515,Encke & Duers,Denmark,Valby,NA,#11 of 62 Restaurants in Valby,"Mid-range, Healthy",€€-€€€,NA,Healthy,NA,N,N,N,4.5,14,5,4.5,4,NA,NA
g1096223-d12325359,Wokshop,Denmark,Valby,NA,#20 of 62 Restaurants in Valby,"Mid-range, Thai",€€-€€€,NA,Thai,NA,N,N,N,3.5,22,4,3.5,3.5,NA,NA
g1096223-d12495803,Toftegaard Smørrebrød,Denmark,Valby,NA,#45 of 62 Restaurants in Valby,NA,NA,NA,NA,NA,N,N,N,4,2,NA,NA,NA,NA,NA
g1096223-d12505952,Cafe on the Six,Denmark,Valby,NA,#10 of 62 Restaurants in Valby,"Cheap Eats, Cafe",€,€2-€17,Cafe,NA,N,N,N,4.5,19,4,4,4,NA,NA
g1096223-d12535159,Isamii Sushi,Denmark,Valby,NA,#29 of 62 Restaurants in Valby,"Mid-range, Chinese",€€-€€€,€5-€27,Chinese,NA,N,N,N,4.5,4,NA,NA,NA,NA,NA
g1096223-d12535280,Banens Pizza,Denmark,Valby,NA,#51 of 62 Restaurants in Valby,"Mid-range, Italian",€€-€€€,€4-€19,Italian,NA,N,N,N,3.5,3,NA,NA,NA,NA,NA
g1096223-d12535373,Det Grønne Pizzeria,Denmark,Valby,NA,NA,"Mid-range, Pizza",€€-€€€,€3-€20,Pizza,NA,N,N,N,NA,0,NA,NA,NA,NA,NA
g1096223-d12604495,Fiorentina Pizza & Grill,Denmark,Valby,NA,#52 of 62 Restaurants in Valby,"Mid-range, Pizza",€€-€€€,€2-€22,Pizza,NA,N,N,N,4,1,NA,NA,NA,NA,NA
g1096223-d12604634,Isushi Valby,Denmark,Valby,NA,#35 of 62 Restaurants in Valby,"Mid-range, Sushi",€€-€€€,€2-€24,Sushi,NA,N,N,N,4,5,NA,NA,NA,NA,NA
g1096223-d12789192,Danny's American Diner,Denmark,Valby,NA,#28 of 62 Restaurants in Valby,American,NA,NA,American,NA,N,N,N,3.5,20,NA,NA,NA,NA,NA
g1096223-d12883663,Cafe Emil,Denmark,Valby,NA,#26 of 62 Restaurants in Valby,"Cheap Eats, Cafe",€,NA,Cafe,NA,N,N,N,3.5,24,3,3,3,NA,NA
g1096223-d12908239,Tandoori Dehra,Denmark,Valby,NA,#40 of 62 Restaurants in Valby,NA,NA,NA,NA,NA,N,N,N,5,2,NA,NA,NA,NA,NA
g1096223-d13008532,Joe & The Juice,Denmark,Valby,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,0,NA,NA,NA,NA,NA
g1096223-d13359248,Yousef’s Spisested,Denmark,Valby,NA,#34 of 62 Restaurants in Valby,Middle Eastern,NA,NA,Middle Eastern,NA,N,N,N,4,5,NA,NA,NA,NA,NA
g1096223-d13368435,Shandiz,Denmark,Valby,NA,#60 of 62 Restaurants in Valby,"Fine Dining, Middle Eastern, Persian",€€€€,€79-€250,"Middle Eastern, Persian",NA,N,N,N,3,1,NA,NA,NA,NA,NA
g1096223-d13384287,VACA - Valbylanggade,Denmark,Valby,NA,#61 of 62 Restaurants in Valby,"Cheap Eats, Mexican",€,€4-€9,Mexican,NA,N,N,N,2.5,35,3,3,2.5,NA,NA
g1096223-d13438127,Bagerdygtigt,Denmark,Valby,NA,#39 of 62 Restaurants in Valby,Cafe,NA,NA,Cafe,NA,N,N,N,3.5,7,NA,NA,NA,NA,NA
g1096223-d13794712,Vera Italiana Uno,Denmark,Valby,NA,#55 of 62 Restaurants in Valby,Italian,NA,NA,Italian,NA,N,N,N,3,2,NA,NA,NA,NA,NA
g1096223-d13921365,Damsmad,Denmark,Valby,NA,#56 of 62 Restaurants in Valby,NA,NA,NA,NA,NA,N,N,N,3,3,NA,NA,NA,NA,NA
g1096223-d13975844,Mosters Te og Kage,Denmark,Valby,NA,#38 of 62 Restaurants in Valby,"French, European, British, Danish",NA,NA,"French, European, British, Danish",NA,N,N,N,5,2,NA,NA,NA,NA,NA
g1096223-d14049304,Letz Sushi,Denmark,Valby,NA,#43 of 62 Restaurants in Valby,Japanese,NA,NA,Japanese,NA,N,N,N,4,4,NA,NA,NA,NA,NA
g1096223-d14157511,Thai Wok,Denmark,Valby,NA,#37 of 62 Restaurants in Valby,Thai,NA,NA,Thai,NA,N,N,N,4,4,NA,NA,NA,NA,NA
g1096223-d14933937,Salekildens Kaffe og Kage,Denmark,Valby,NA,#16 of 62 Restaurants in Valby,"Cafe, European, Danish",NA,NA,"Cafe, European, Danish",NA,N,N,N,4.5,8,NA,NA,NA,NA,NA
g1096223-d15339336,Lulu's Kaffebar,Denmark,Valby,NA,#46 of 62 Restaurants in Valby,Cafe,NA,NA,Cafe,NA,N,N,N,NA,0,NA,NA,NA,NA,NA
g1096223-d16662335,Domo,Denmark,Valby,NA,#58 of 62 Restaurants in Valby,"Japanese, Sushi",NA,NA,"Japanese, Sushi",NA,N,N,N,2,1,NA,NA,NA,NA,NA
g1096223-d16667534,Cuisine Et Florie,Denmark,Valby,NA,#25 of 62 Restaurants in Valby,"Mid-range, Cafe, European, Deli",€€-€€€,NA,"Cafe, European, Deli, Danish",NA,N,N,N,4,9,NA,NA,NA,NA,NA
g1096223-d17381495,Sushi Stjerne,Denmark,Valby,NA,#50 of 62 Restaurants in Valby,"Fine Dining, Japanese, Sushi",€€€€,NA,"Japanese, Sushi",NA,N,N,N,4,1,NA,NA,NA,NA,NA
g1096223-d17813215,Sticky Rice,Denmark,Valby,NA,NA,Japanese,NA,NA,Japanese,NA,N,N,N,NA,0,NA,NA,NA,NA,NA
g1096223-d1878687,The D Diner,Denmark,Valby,NA,#57 of 62 Restaurants in Valby,"Mid-range, American, Diner",€€-€€€,€12-€17,"American, Diner",NA,N,N,N,3,94,3,3.5,3,3.5,NA
g1096223-d18956848,Cafe Istanbul,Denmark,Valby,NA,#49 of 62 Restaurants in Valby,NA,NA,NA,NA,NA,N,N,N,4,1,NA,NA,NA,NA,NA
g1096223-d19631248,Sumerian Pizza & Manakish,Denmark,Valby,NA,#48 of 62 Restaurants in Valby,NA,NA,NA,NA,NA,N,N,N,4,1,NA,NA,NA,NA,NA
g1096223-d20208771,Rumbles,Denmark,Valby,NA,NA,American,NA,NA,American,NA,N,N,N,NA,0,NA,NA,NA,NA,NA
